model,accuracy,precision,recall,f1,time_sec
LinearSVC,0.6479400749063671,0.6944791674107302,0.6479400749063671,0.6617466743284387,0.0
SVC-Poly(d=2),0.6161048689138576,0.678037762527899,0.6161048689138576,0.6326610514317822,4.1
SVC-RBF,0.664258962011771,0.694325864133627,0.664258962011771,0.6747548878294574,4.8
