类别,精确率,召回率,F1,样本数
散客,0.596039603960396,0.27463503649635035,0.3760149906308557,1096.0
会员,0.7540983606557377,0.9227857683573051,0.8299574468085107,2642.0
macro avg,0.6750689823080669,0.5987104024268277,0.6029862187196832,3738.0
weighted avg,0.7077547551613302,0.7327447833065811,0.6968592841625209,3738.0
