mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.008632850646973,0.05379823830832006,1.8526278495788575,0.06592304361965401,0.001,scale,rbf,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
3.940676212310791,0.04289801927939486,1.790653896331787,0.024153681116354523,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
3.891755390167236,0.09372114962322341,1.7810474395751954,0.05519709844506355,0.001,0.05,rbf,"{'C': 0.001, 'gamma': 0.05, 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
3.817194175720215,0.027266380623013935,1.783405876159668,0.022689811590038016,0.001,0.01,rbf,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
3.8286221981048585,0.02762389070777005,1.7557081699371337,0.024280727168091095,0.001,0.001,rbf,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
3.739976692199707,0.011668532720607878,1.7125641345977782,0.016628479454779684,0.005,scale,rbf,"{'C': 0.005, 'gamma': 'scale', 'kernel': 'rbf'}",0.6192662059514843,0.6218255740886703,0.6330860103378817,0.6209503073788886,0.6064013701852734,0.6203058935884397,0.008490851589058745,17,0.6232314037281055,0.6224474752496171,0.617348330454796,0.6238937932090662,0.6273406144894433,0.6228523234262056,0.0032196570788720212
3.8468818187713625,0.04553411622008731,1.7561982154846192,0.014897651766001059,0.005,0.1,rbf,"{'C': 0.005, 'gamma': 0.1, 'kernel': 'rbf'}",0.6036229148691401,0.5943258408395593,0.6104691117905364,0.6033178500331785,0.5856351812504025,0.5994741797565635,0.008612753426392868,26,0.6017826060384681,0.5996420482907485,0.5942142204063591,0.6050821880968045,0.6103318898864387,0.6022105905437638,0.0053837550266823495
3.6942218780517577,0.033036651819404385,1.6907086849212647,0.017103784606464396,0.005,0.05,rbf,"{'C': 0.005, 'gamma': 0.05, 'kernel': 'rbf'}",0.6155958906511144,0.6216358491807593,0.6322458400837645,0.6216081860511072,0.6075069284623307,0.6197185388858152,0.008127727580112097,18,0.6218761763087508,0.6230016742863353,0.619208962186794,0.6227950962158124,0.6268860681256464,0.6227535954246678,0.002468800727382489
3.7116276264190673,0.06043905557306479,1.7517592906951904,0.019652943309505837,0.005,0.01,rbf,"{'C': 0.005, 'gamma': 0.01, 'kernel': 'rbf'}",0.5784283504892003,0.5971832054534418,0.5888529278940238,0.5820224830844437,0.5899013646249847,0.5872776663092188,0.00653318129028787,30,0.591146422815547,0.587421250475189,0.5865934016903029,0.5888322560985194,0.5945264145277466,0.589703949121461,0.0028629694413448473
3.780141258239746,0.0727776832716681,1.7715685844421387,0.010084252628456436,0.005,0.001,rbf,"{'C': 0.005, 'gamma': 0.001, 'kernel': 'rbf'}",0.22679079389707785,0.22679079389707785,0.22679079389707785,0.4141513132105057,0.4141513132105057,0.301735001622449,0.09178753405215422,34,0.22672012415933782,0.22672012415933782,0.22672012415933782,0.41409044142864143,0.41409044142864143,0.3016682510670593,0.09179233405063779
